temp,wind,humid,snow
-8.3,4.2,34,0
-8.8,6.5,33,0
-9.1,4.3,39,0
-9.4,5.4,41,0
-9.5,4.4,46,0
-9.8,6.5,40,0
-10.2,4.4,50,0
-10.1,3.7,45,0
-9.8,5.1,36,0
-9.3,4.2,34,0
-8.9,4.9,33,0
-8.1,4.6,33,0
-7.6,5.9,31,0
-7.1,5.3,30,0
-7,4.7,27,0
-7.2,4.8,30,0
-8.2,4.7,30,0
-8.6,3.6,43,0
-8.7,3.6,42,0
-9.1,2.5,36,0
-9.5,3.5,40,0
-10.1,3.5,44,0
-10.8,4,47,0
-11.1,5.1,40,0
-11.3,3.9,38,0
-11.3,2,39,0
-11.3,3.7,38,0
-11.4,4.1,39,0
-11.5,3.9,39,0
-11.4,3.1,37,0
-11.9,3.5,35,0
-11.4,2.9,34,0
-10.5,4.7,31,0
-9.8,3.9,28,0
-8.5,3.2,27,0
-7.9,4.4,28,0
-7.1,4.8,28,0
-6.4,4.9,27,0
-5.3,4,30,0
-5.9,3.7,33,0
-6.7,3.9,36,0
-7.2,2.9,39,0
-7.5,3.5,41,0
-8.2,2.3,45,0
-8.8,3,48,0
-9.3,2.3,50,0
-9.8,2.4,49,0
-9.7,1.7,45,0
-10.1,2.4,46,0
-10.2,2.3,47,0
-10.3,1.4,51,0
-10.3,1.8,54,0
-10.3,0.7,55,0
-10.6,0.7,57,0
-10.3,1,54,0
-9,1.4,45,0
-7.6,4.6,46,0
-6.8,3.6,44,0
-6.2,4.9,39,0
-5.4,3.7,37,0
-5.4,4.9,38,0
-4.5,4.6,37,0
-4.3,3.8,36,0
-4.3,2.8,36,0
-5.1,3.3,38,0
-5.4,2.7,43,0
-5.7,3.2,45,0
-6.1,1.4,46,0
-6.5,1.2,47,0
-6.8,1.8,48,0
-7.4,1.8,52,0
-7.8,0.9,55,0
-7.8,1.4,57,0
-8.1,0.8,60,0
-8.1,1.3,61,0
-8.7,0.8,66,0
-8.8,1.7,65,0
-8.7,1.5,66,0
-8.6,1.1,65,0
-7.3,2.4,60,0
-5.2,2.8,53,0
-2.7,1.1,41,0
-1.9,1,38,0
-1.2,1.1,38,0
0.1,2.7,36,0
-0.3,2.3,42,0
-0.3,1.3,50,0
-0.4,2.4,65,0
-0.5,2.8,67,0
-0.4,2.6,67,0
-0.6,3.1,64,0
-0.8,4,58,0
-0.6,3.3,58,0
-0.5,3.1,58,0
-0.3,4,58,0
-0.2,3.5,57,0
-0.1,3.1,57,0
0.1,2.7,58,0
0.2,2.8,58,0
0.3,2.9,60,0
0.3,3,60,0
0.5,2.7,61,0
0.7,2.5,62,0
1,3.3,62,0
1.5,3.7,61,0
2,2.5,61,0
2.2,2.5,62,0
2.6,2.8,61,0
3,3,60,0
3.5,2.7,60,0
3.5,3.4,62,0
3.3,3,64,0
3.3,2.8,66,0
3.5,2.6,67,0
3.5,3.3,69,0
3.5,1.9,69,0
3.6,1.3,69,0
3.7,1.3,69,0
3.7,1.5,71,0
3.7,1.5,71,0
3.6,2.2,72,0
3.7,2.1,71,0
3.7,1.5,72,0
3.7,1.2,72,0
3.7,1.5,74,0
3.8,1.7,75,0
3.9,1.9,75,0
4.3,2.4,73,0
4.9,2.6,70,0
5.6,2.1,67,0
6.3,2.7,65,0
8.1,3.4,59,0
8.3,2.3,59,0
8.3,2,59,0
8.5,3.2,57,0
7.8,2.9,61,0
6.9,2.4,65,0
6.4,2.1,64,0
6,1.8,67,0
5.4,2.2,68,0
5.3,1.8,70,0
4.9,1.7,72,0
4.3,2.1,75,0
4.2,2,75,0
4.1,2.7,74,0
4.4,1.4,72,0
4.4,1.6,72,0
4.5,2.5,71,0
4.2,1.9,72,0
3.9,2.3,74,0
3.7,2.7,75,0
4.5,2.5,71,0
5.9,2.6,64,0
7.8,1.9,57,0
9,3.3,51,0
10.7,3.4,47,0
10.9,3.3,47,0
11.4,3.8,44,0
10.9,3.8,45,0
10.5,4.1,46,0
10,5,47,0
9.7,3.1,48,0
9.4,2.8,49,0
9.2,3.5,51,0
9.2,3.8,50,0
9.1,1.8,50,0
9.1,3,49,0
9.2,3.7,47,0
8.9,4.5,52,0
8.3,4.8,56,0
7.7,4,72,0
6.3,5.7,87,0
6.2,5.4,90,0
6.5,4.9,91,0
7.2,3.7,91,0
7.4,3.9,92,0
7.6,3.7,92,0
8,3,92,0
8.3,2.3,92,0
8.5,2.4,92,0
8.5,2,92,0
8.6,2.3,92,0
8.9,2.2,92,0
9.3,2.6,92,0
8.6,4.2,92,0
8.1,3.8,92,0
7.5,4.2,88,0
7,4.7,86,0
6.4,3.6,86,0
5.7,4.5,87,0
3.7,5.2,86,0
2.3,4.7,80,0
1.2,4.5,79,0
0.7,3.4,81,0
0.4,4.2,80,0
-0.2,3.6,78,0
-0.7,3.7,80,0
-1.1,3.1,76,0
-1.8,4.2,62,0
-1.8,3.5,63,0
-1.4,4.1,52,0
-0.7,4.5,50,0
0.2,4.3,46,0
0.9,4.6,41,0
0.8,5.6,32,0
1,5.8,30,0
1.6,3.6,32,0
0.4,5,32,0
-0.8,5.3,34,0
-1.5,3.1,35,0
-2.1,4.6,34,0
-2.7,4.3,34,0
-3.1,3.5,35,0
-3.7,4.3,41,0
-4.5,4.7,49,0
-4.9,2.3,52,0
-5.2,3.5,55,0
-5.3,1.2,55,0
-5.4,1.7,54,0
-5.5,2,55,0
-5.7,1.1,52,0
-5.7,2.5,52,0
-5.5,2.1,49,0
-4.5,3.2,50,0
-3.7,3.4,45,0
-3.1,3.8,45,0
-2,3.6,40,0
-1.6,1.7,38,0
-1.4,1.4,34,0
-1.2,3,34,0
-2.1,1.4,54,0
-3.1,4.9,81,0.3
-3.2,4.3,85,0.9
-2.5,3.4,87,1.2
-2.4,3.3,89,2.2
-2.2,3.3,90,3.8
-2,2.9,91,5.3
-1.7,2.5,91,7.4
-1.5,2.6,92,9
-1.4,2.2,92,13.5
-1.3,3.3,92,15.5
-1.1,2.1,91,15.7
-1,1.9,91,16
-0.9,0.6,91,16.5
-0.7,1.7,91,16.5
-1.4,3.6,90,16.5
-1.6,2.8,90,16.5
-1.1,1.9,85,16.5
-0.5,2.8,80,16.4
0.4,2.6,76,16.1
1.1,4.1,69,15.6
1.2,3.8,68,14.6
1.8,3.6,63,13.8
